id_str;day;anonymized_text
1206157336534016001;2019-12-15;Symptomatique [url]
1206550539477159941;2019-12-16;#ReformeRetraite #Delevoye @mention appelle au retrait du projet de réforme après la démission du haut-commissaire symptomatique d’un fiasco ! [url]
1218113362917236737;2020-01-17;Il serait temps de condamner toutes ces feignasses et ces petites merdes incultes de la #cgt . Ça brûle des livres, ça nuit à la liberté d’expression en arrêtant une radio. Bref un Q.I au niveau de la température anale… [url]
1233057556123312128;2020-02-27;"Jusqu’à cette heure 19.800 malades du #Covid_19  ont  retrouvé un état de santé normale et d’autres en voie “recovery” rétablissement! dans le monde avec des foyers les plus important en Asie et moyen orient.
..toujours +80.000 malades symptomatique confirmés !"
1257113390218166272;2020-05-04;J’en ai tellement marre des « fievre depuis 5j » qui débarquent a 3h du mat’ putain mais qu’est-ce qui justifie que tu sois pas venu cet aprem/ce soir ou que tu attendes pas demain matin ?
1267956541136781314;2020-06-03;Apres ca y a pas plus de video cetais une lutte pour la survit jvenais dme faire courser jpouvais plus rien filmer jaavais mal au cote et du mal a respirer (cest toujours le cas) mais jvous explique tout en bas [url]
1277260863611777026;2020-06-28;"Les résultats pour un éternuement et le fait d'avoir toussé 2 fois 🤢

Bref mettez un masque svp [url]"
1285879093444124673;2020-07-22;"&lt; Le mec qui opère un repli discret vers le wagon bar, lorsque la voisine commence à tousser comme une tuberculoseuse. [url]"
1290061976199024642;2020-08-03;J’aurais lâché mon meilleur étouffement avec toux sèche pour réveiller la personne qui dort [url]
1291687102011375616;2020-08-07;@mention Dans la rue avant d’accéder au RER j’ai baissé mon masque pour tousser par réflexe... [url]
1296518095310409729;2020-08-20;"J’AI LA FIÈVRE
C’EST LA TRÊVE 
DE L’AMOUR [url] [url]"
1296730814068269057;2020-08-21;l’appareil qui te donne 35 de fievre et on te dit ah cv aller suivant [url]
1297871632720158721;2020-08-24;Doit-on rappeler les effets d’une reconnaissance (juridique dans ce cas précis) pour les patients #PTSD  qui présentent des symptômes post-traumatiques ? [url]
1297981316026241026;2020-08-24;Wtf mais j’avais exactement tous les symptômes avant de prendre la pillule du coup je sais même pas si je dois encore m’inquiéter ou pas 😭😭 [url]
1205928591340507138;2019-12-14;"Oui ! 💛🖤
Il est là le @mention ! 
#FievreSR #GLASSR [url]"
1226183746086481920;2020-02-08;"Allez Vincent et Greg !
2 Rochelais titulaires demain pour #FRAITA ! 💛🖤
#FievreSR [url]"
1227924087277858816;2020-02-13;@mention Ahahaha t’as tellement raison, c’est tellement compliqué d’avoir des conversations sérieuses et documentés maintenant... cette vidéo est sympa mais symptomatique du manque de fond systématique sur les réseaux sociaux. La forme avant tout pour faire du clic...
1243606098269081606;2020-03-27;@mention Il est toujours symptomatique ?
1248329252635734016;2020-04-09;Déceler Coronavirus sur les personnes-sans-symptome-visible grâce à un test relativement simple basé sur le taux d'oxygène dans le sang via une application sur un téléphone portable, mis au point par l'Unité Sprint Covid19 d'un hôp…[url] [url]
1255587073186283521;2020-04-29;"@mention Merci de ce thread très intéressant. Vous pouvez juste traduire ce message pour les parents pour savoir quand on panique et on file aux urgences ?
(Fièvre &gt;5 jours, je comprends ;) )"
1277471816081121282;2020-06-29;Bonjour @mention. Sur l’agressivité des moustiques avec @mention, vous ne parlez pas de la température du corps humain qui pourrait favoriser les piqûres ? C’est ce qu’on m’avait appris à l’école. #Europe1 belle journée !
1284465387070009344;2020-07-18;@mention mais ça date j’ai plus d’odeur t’as grv menti
1292834635953639425;2020-08-10;Vous avez le corona avec les symptômes du corona mais vous vivez normalement 👍🏾
1294711268599836673;2020-08-15;@mention Il y a des symptômes , surtout pour la psychologie.Fais des recherches sur les symptômes et regarde si tu les as
